ref,build,part,qty,unit,spec,search_keyword,unit_price_usd_low,unit_price_usd_high,where_to_buy_global,where_to_buy_korea,notes,url_official,url_global,url_korea,links_checked
H1,reference,Certified bicycle/multisport helmet with vents,1,pc,"EN 1078 / CPSC 1203 / AS/NZS 2063 / KC mark; rounded shell, no visor; vents >= 20 x 8 mm",certified bicycle helmet EN 1078 vents,30,80,"Local bike shops, sporting goods stores, online retailers","자전거 매장, 스포츠용품점, 온라인 쇼핑몰 (KC 인증 표시 확인)",Buy new. Size to the user. Never a used or crashed helmet.,,,https://www.coupang.com/np/search?q=KC%EC%9D%B8%EC%A6%9D+%EC%9E%90%EC%A0%84%EA%B1%B0+%ED%97%AC%EB%A9%A7,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
U1,reference,Raspberry Pi 5 (4 GB; 8 GB recommended),1,pc,BCM2712 quad-core; 4 GB or 8 GB RAM,Raspberry Pi 5 8GB,60,120,Raspberry Pi Approved Resellers (see raspberrypi.com/resellers); DigiKey; Mouser,"디바이스마트, 엘레파츠, 아이씨뱅큐 (Raspberry Pi 공식 리셀러 여부 확인)",Low end = 4 GB; high end = 8 GB.,https://www.raspberrypi.com/products/raspberry-pi-5/,https://www.digikey.com/en/products/detail/raspberry-pi/SC1112/21658257,https://www.devicemart.co.kr/goods/view?no=15215449,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
U2,reference,Raspberry Pi Active Cooler (official),1,pc,Official heatsink + fan for Pi 5,Raspberry Pi 5 Active Cooler,5,8,Raspberry Pi Approved Resellers; DigiKey; Mouser,"디바이스마트, 엘레파츠, 아이씨뱅큐",Required on Pi 5.,https://www.raspberrypi.com/products/active-cooler/,https://www.digikey.com/en/products/detail/raspberry-pi/SC1148/21658255,https://www.devicemart.co.kr/goods/view?no=15276241,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
U3,reference,microSD card 32 GB A2,1,pc,"32 GB, A2 / U3 rated, reputable brand",microSD 32GB A2,8,15,"Electronics retailers, AliExpress (buy a known brand from an official store)","디바이스마트, 엘레파츠, 아이씨뱅큐, 대형 온라인몰",Or NVMe via M.2 HAT (not priced here).,https://www.raspberrypi.com/products/sd-cards/,https://www.aliexpress.com/w/wholesale-microsd-32gb-a2.html,https://www.coupang.com/np/search?q=microSD+32GB+A2,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
C1,reference,Raspberry Pi Camera Module 3 Wide,1,pc,"IMX708, 120 deg diagonal / 102 deg horizontal, autofocus",Raspberry Pi Camera Module 3 Wide,35,45,Raspberry Pi Approved Resellers; DigiKey; Mouser,"디바이스마트, 엘레파츠, 아이씨뱅큐",Standard (non-NoIR) version.,https://www.raspberrypi.com/products/camera-module-3/,https://www.digikey.com/en/products/detail/raspberry-pi/SC0874/17278644,https://www.eleparts.co.kr/goods/view?no=12391455,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
C2,reference,Pi 5 camera cable 22-pin to 15-pin 300 mm,1,pc,"FPC, 22-pin (Pi 5 side) to 15-pin (camera side), 300 mm",Raspberry Pi 5 camera cable 300mm,2,5,Raspberry Pi Approved Resellers; AliExpress; DigiKey,"디바이스마트, 엘레파츠, 아이씨뱅큐",Check helmet front-to-rear routing length before ordering; 500 mm exists if needed.,https://www.raspberrypi.com/products/camera-cable/,https://www.digikey.com/en/products/detail/raspberry-pi/SC1129/21658260,https://www.devicemart.co.kr/goods/view?no=15285261,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
S1,reference,Benewake TF-Luna LiDAR (forward),1,pc,"0.2-8 m, 2 deg FOV, I2C/UART, 5 V",Benewake TF-Luna LiDAR,18,35,AliExpress (Benewake official store); DigiKey; Mouser; SparkFun/Pimoroni distributors,"디바이스마트, 엘레파츠, 아이씨뱅큐",Make sure the 6-pin GH1.25 cable is included.,https://en.benewake.com/TFLuna/index.html,https://www.dfrobot.com/product-1995.html,https://www.devicemart.co.kr/goods/view?no=12541520,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
S2,reference,Benewake TF-Luna LiDAR (down-looking),1,pc,Same as S1; I2C address changed to 0x11,Benewake TF-Luna LiDAR,18,35,AliExpress (Benewake official store); DigiKey; Mouser,"디바이스마트, 엘레파츠, 아이씨뱅큐",,https://en.benewake.com/TFLuna/index.html,https://www.dfrobot.com/product-1995.html,https://www.devicemart.co.kr/goods/view?no=12541520,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
S3,reference,MPU-6050 IMU module (GY-521),1,pc,"3-axis accel + gyro, I2C 0x68, 3.3-5 V",GY-521 MPU-6050,2,5,AliExpress; DigiKey (breakout boards); local electronics shops,"디바이스마트, 엘레파츠, 아이씨뱅큐",Leave AD0 unconnected (address 0x68).,,https://www.aliexpress.com/w/wholesale-gy-521-mpu6050.html,https://www.devicemart.co.kr/goods/view?no=1247052,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
M1-M3,reference,Coin ERM vibration motor 1027 with leads,3,pc,"10 x 2.7 mm, 3 V",1027 coin vibration motor 3V,0.5,2,AliExpress; DigiKey; Mouser,"디바이스마트, 엘레파츠, 아이씨뱅큐",Prefer versions with a 2-pin connector or longer leads (no soldering).,,https://www.adafruit.com/product/1201,https://www.devicemart.co.kr/goods/view?no=15959404,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
